Concurso;Data Sorteio;1º número_Sorteio1;2º número_Sorteio1;3º número_Sorteio1;4º número_Sorteio1;5º número_Sorteio1;6º número_Sorteio1;Arrecadação_Total;Ganhadores_Sena_Sorteio1;Cidade;UF;Rateio_Sena_Sorteio1;Acumulado_Sena_Sorteio1;Valor_Acumulado_Sena_Sorteio1;Ganhadores_Quina_Sorteio1;Rateio_Quina_Sorteio1;Ganhadores_Quadra_Sorteio1;Rateio_Quadra_Sorteio1;Ganhadores_Terno_Sorteio1;Rateio_Terno_Sorteio1;1º número_Sorteio2;2º número_Sorteio2;3º número_Sorteio2;4º número_Sorteio2;5º número_Sorteio2;6º número_Sorteio2;Ganhadores_Sena_Sorteio2;Rateio_Sena_Sorteio2;Ganhadores_Quina_Sorteio2;Rateio_Quina_Sorteio2;Ganhadores_Quadra_Sorteio2;Rateio_Quadra_Sorteio2;Ganhadores_Terno_Sorteio2;Rateio_Terno_Sorteio2;Estimativa_Prêmio;Acumulado Especial de Páscoa
1495;21/05/2016;47;41;43;6;5;40;2.858.96000;0;;;000;SIM;4.936.33811;14;6.19669;988;10035;0;0;15;33;6;9;26;41;0;000;39;2.2244599999999997;1251;7925;0;0;5.300.00000;1.397.33009
1496;24/05/2016;41;49;3;1;8;13;3.243.99400;0;;;000;SIM;5.408.83745;24;4.10156;1395;8064;0;0;14;6;9;25;1;17;0;000;26;3.78605;1562;7202;0;0;6.000.00000;1.554.82989
1497;28/05/2016;4;3;12;30;42;32;4.088.45400;0;;;000;SIM;6.004.33542;27;4.5949;1560;9088;0;0;47;41;23;29;26;35;0;000;42;2.9538599999999997;1906;7438;0;0;6.400.00000;1.753.32922
1498;31/05/2016;19;25;5;44;26;13;4.070.31600;0;;;000;SIM;6.597.19152;50;2.47023;2620;5387;0;0;5;41;19;49;18;15;0;000;39;3.16697;1829;7717;0;0;7.000.00000;1.950.94794
1499;02/06/2016;45;26;29;34;37;24;3.766.62200;0;;;000;SIM;7.145.81350;17;6.723310000000001;1634;7994;0;0;2;17;49;41;31;20;0;000;30;3.8098699999999996;1408;9277;0;0;7.600.00000;2.133.82195
1500;04/06/2016;22;36;33;12;14;50;3.880.03400;0;;;000;SIM;7.710.95434;26;4.52837;1930;6971;0;0;20;49;18;32;29;41;0;000;27;4.36065;1449;9286;0;0;8.200.00000;2.322.20226
1501;07/06/2016;9;18;15;16;38;2;4.235.82800;0;;;000;SIM;8.327.91786;30;4.28447;1847;7953;0;0;39;15;36;1;8;14;0;000;31;4.14626;1635;8984;0;0;8.600.00000;2.527.85680
1502;09/06/2016;19;12;7;50;8;2;4.469.25600;0;;;000;SIM;8.978.88101;62;2.18738;2673;5798;0;0;42;11;30;24;47;6;0;000;59;2.2986;2340;6623;0;0;9.300.00000;2.744.84454
1503;11/06/2016;30;24;13;1;23;6;4.817.03800;1;ENTRE FOLHAS;MG;9.417.39279;NÃO;263.10707;40;3.65426;2053;8136;0;0;38;35;1;44;24;41;0;000;16;9.135660000000001;1746;9567;0;0;400.00000;2.978.71752
1504;14/06/2016;20;47;38;1;27;18;1.939.01000;0;;;000;SIM;439.62191;9;6.53758;595;11301;0;0;12;11;25;9;2;10;1;105.90891;34;1.7305400000000002;1463;4596;0;0;700.00000;3.072.85879
1505;16/06/2016;26;3;27;25;10;42;1.708.35200;0;;;000;SIM;688.44948;13;3.9876199999999997;841;7044;0;0;42;13;3;22;43;5;0;000;14;3.7027900000000002;771;7684;0;0;900.00000;3.155.80134
1506;18/06/2016;2;4;47;28;13;5;1.781.00600;0;;;000;SIM;947.85936;21;2.5735099999999997;956;6460;0;0;47;45;37;17;16;44;0;000;11;4.913069999999999;573;10779;0;0;1.100.00000;3.242.27132
1507;21/06/2016;30;45;41;31;3;14;2.275.73800;0;;;000;SIM;1.279.32874;18;3.83645;820;9624;0;0;29;40;28;42;9;17;0;000;13;5.31201;757;10425;0;0;1.500.00000;3.352.76112
1508;23/06/2016;12;31;33;19;49;39;1.958.56600;1;Ribeirão Preto;SP;1.457.62382;NÃO;106.97706;22;2.7014400000000003;1013;6705;0;0;4;15;44;37;10;33;0;000;20;2.97159;890;7631;0;0;300.00000;3.447.85186
1509;25/06/2016;11;9;15;21;28;3;1.385.93200;0;;;000;SIM;308.84300;17;2.47385;753;6382;0;0;47;9;5;12;13;35;0;000;14;3.0039599999999997;872;5511;0;0;500.00000;3.515.14052
1510;28/06/2016;5;16;50;41;26;18;1.833.78600;0;;;000;SIM;536.98877;12;4.63711;730;8711;14762;215;32;42;47;9;23;33;0;000;10;5.0080800000000005;716;8881;14878;213;750.00000;3.604.17302
1511;30/06/2016;13;28;29;25;34;16;1.763.00600;0;;;000;SIM;756.32863;16;3.3436;913;6696;15628;195;43;1;45;35;36;34;0;000;25;1.9259099999999998;929;6581;13591;224;1.000.00000;3.689.76908
1512;02/07/2016;25;17;22;32;26;42;2.009.36800;0;;;000;SIM;1.006.31897;13;4.69025;703;9912;15918;218;21;38;2;43;28;44;0;000;11;4.98872;686;10157;13682;254;1.200.00000;3.787.32632
