Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Time_Coração;Valor_Arrecadado;Ganhadores_7_Números;Cidade;UF;Ganhadores_6_Números;Ganhadores_5_Números;Ganhadores_4_Números;Ganhadores_3_Números;Ganhadores_Time_Coração;Valor_Rateio_7_Números;Valor_Rateio_6_Números;Valor_Rateio_5_Números;Valor_Rateio_4_Números;Valor_Rateio_3_Números;Valor_Time_Coração;Valor_Acumulado;Estimativa_Premio
91;21/11/2009;17;5;76;12;25;57;52;ATLÉTICO/GO;2.482.61400;0;;;22;475;6562;52574;9928;000;9.33189;41163.0;600;200;200;5.835.47793;6.000.00000
92;28/11/2009;62;9;40;39;1;4;56;YPIRANGA/AP;2.433.77200;0;;;2;250;4238;42063;6993;000;104.57949;79679.0;600;200;200;6.114.35655;6.300.00000
93;05/12/2009;46;60;47;8;17;4;30;MOTO CLUBE/MA;2.395.13600;0;;;4;224;4311;43964;8146;000;51.013020000000004;86756.0;600;200;200;6.386.42599;6.800.00000
94;12/12/2009;52;46;34;12;56;79;7;IPATINGA/MG;2.293.23200;0;;;7;327;5079;44425;9046;000;27.52412;56114.0;600;200;200;6.974.47861;7.200.00000
95;19/12/2009;67;34;74;73;30;36;13;AMÉRICA/RN;2.370.70800;0;;;2;165;3610;36387;7305;000;103.05558;1.18967;600;200;200;7.249.29348;7.500.00000
96;26/12/2009;9;4;51;20;32;80;36;PORTUGUESA DESPORTOS/SP;2.138.56400;0;;;3;225;4647;43645;8402;000;59.62344;75712.0;600;200;200;7.487.78723;7.600.00000
97;09/01/2010;60;4;45;40;15;66;38;AMÉRICA/RJ;2.503.32800;0;;;2;210;4152;41519;9630;000;107.5537;97554.0;600;200;200;7.774.59708;8.000.00000
98;16/01/2010;35;28;41;71;40;5;50;GOIÁS/GO;2.563.00000;1;CAMBUQUIRA;MG;3;221;4101;40786;20385;8.063.56604;72.24224;93396.0;600;200;200;000;150.00000
99;23/01/2010;12;52;63;60;28;66;5;LONDRINA/PR;1.179.28600;0;;;3;97;2228;20943;5225;000;33.37373;98302.0;600;200;200;439.14055;600.00000
100;30/01/2010;38;36;74;58;72;70;14;PAYSANDU/PA;1.227.31200;0;;;0;100;1699;17771;4748;000;0.0;1.0186600000000001;600;200;200;688.71298;800.00000
101;06/02/2010;1;76;80;46;63;59;60;CEARÁ/CE;1.281.59000;0;;;4;146;2405;21757;8926;000;26.971109999999996;70374.0;600;200;200;832.55889;1.000.00000
102;13/02/2010;28;49;34;77;45;26;48;GAMA/DF;1.197.81400;0;;;4;121;2185;20815;4984;000;25.53004;80377.0;600;200;200;968.71909;1.100.00000
103;20/02/2010;21;3;80;16;42;71;7;RORAIMA/RR;1.169.28400;0;;;5;134;2581;23623;2458;000;19.74935;70182.0;600;200;200;1.100.38143;1.200.00000
104;27/02/2010;4;66;62;69;58;61;80;UNIÃO SÃO JOÃO/SP;1.276.14200;0;;;1;64;1734;18013;2365;000;112.53171999999999;1.1722;600;200;200;1.426.50465;1.600.00000
105;06/03/2010;10;2;51;75;52;3;17;MARÍLIA/SP;1.396.33800;0;;;2;151;3097;28891;5279;000;58.31632;73562.0;600;200;200;1.582.01482;1.700.00000
106;13/03/2010;19;11;18;17;59;73;75;INTER LIMEIRA/SP;1.349.39200;0;;;4;126;2554;24634;4884;000;28.68392;86723.0;600;200;200;1.734.99571;1.900.00000
107;20/03/2010;58;13;38;46;6;9;80;BAHIA/BA;1.422.03000;0;;;6;211;3401;30810;16311;000;18.88201;51136.0;600;200;200;1.886.05173;2.000.00000
